datetime_start,ts_3_1_1,ts_3_2_1,ts_3_3_1,swc_3_1_1,swc_3_2_1,swc_3_3_1
2024-07-02 19:30:00,21.64889,22.02484,21.93774,10.87877,13.43144,17.39107
2024-07-02 20:00:00,21.19155,21.76416,21.87979,11.182409999999999,13.90913,17.479529999999997
2024-07-02 20:30:00,20.85229,21.53399,21.82189,11.23417,14.000409999999999,17.29483
2024-07-02 21:00:00,20.65582,21.30532,21.73529,11.31803,13.728789999999998,17.71837
2024-07-02 21:30:00,20.37701,21.10644,21.64889,11.60654,13.702329999999998,17.61975
2024-07-02 22:00:00,20.18307,20.93682,21.56271,11.41591,13.80481,17.49998
2024-07-02 22:30:00,20.01763,20.76797,21.44808,11.25782,13.62545,17.75771
2024-07-02 23:00:00,19.74359,20.59991,21.36236,11.14298,13.67765,17.73914
2024-07-02 23:30:00,19.55288,20.43261,21.24841,11.348370000000001,13.81377,17.298099999999998
2024-07-03 00:00:00,19.36322,20.2384,21.16317,11.07259,13.83897,17.76645
2024-07-03 00:30:00,19.20132,20.10025,21.04983,10.87894,13.79698,17.497770000000003
2024-07-03 01:00:00,19.04016,19.96267,20.93682,11.15794,13.11397,17.59554
2024-07-03 01:30:00,18.85299,19.82559,20.88043,10.71555,13.637789999999999,17.52069
2024-07-03 02:00:00,18.71984,19.68902,20.76797,11.41243,13.32688,17.80096
2024-07-03 02:30:00,18.53421,19.52575,20.68386,11.16283,13.89263,17.516180000000002
2024-07-03 03:00:00,18.40219,19.41729,20.57199,10.80874,13.691429999999999,17.74561
2024-07-03 03:30:00,18.21804,19.25518,20.48828,11.16012,13.807059999999998,17.741290000000003
2024-07-03 04:00:00,18.06094,19.14752,20.37701,11.358600000000001,13.626070000000002,17.335
2024-07-03 04:30:00,17.87841,18.98657,20.29376,11.18185,13.641039999999998,17.380689999999998
2024-07-03 05:00:00,17.72262,18.85299,20.18307,11.28791,13.55448,17.72842
2024-07-03 05:30:00,17.59326,18.71984,20.10025,11.040750000000001,13.66492,17.748340000000002
2024-07-03 06:00:00,17.51586,18.58715,20.01763,10.5898,13.662959999999998,17.53432
2024-07-03 06:30:00,17.56747,18.53421,19.90777,10.8537,13.57421,17.65243
2024-07-03 07:00:00,17.74853,18.53421,19.82559,11.03032,13.70881,17.28482
2024-07-03 07:30:00,18.06094,18.58715,19.77087,10.71307,13.55793,17.423730000000003
2024-07-03 08:00:00,18.42852,18.69326,19.71627,10.8016,13.23544,17.35533
2024-07-03 08:30:00,18.77304,18.87963,19.68902,11.09721,12.98389,17.306820000000002
2024-07-03 09:00:00,19.17443,19.06695,19.68902,10.57724,13.376240000000001,16.97478
2024-07-03 09:30:00,19.58007,19.28216,19.71627,10.60121,12.81227,17.27323
2024-07-03 10:00:00,20.04519,19.55288,19.74359,10.85902,13.19976,16.78314
2024-07-03 10:30:00,20.54406,19.85296,19.82559,10.97567,13.07121,16.96272
2024-07-03 11:00:00,20.96502,20.15548,19.90777,10.552340000000001,12.418650000000001,16.35924
2024-07-03 11:30:00,21.47671,20.48828,20.01763,10.41712,12.862979999999999,16.554450000000003
2024-07-03 12:00:00,21.99578,20.82418,20.12786,10.23432,12.654499999999999,16.55779
2024-07-03 12:30:00,22.61108,21.21997,20.26608,10.42601,12.44881,16.37194
2024-07-03 13:00:00,23.32778,21.67767,20.40478,10.24863,12.327960000000001,16.23424
2024-07-03 13:30:00,24.12133,22.1997,20.59991,10.1913,11.96341,16.09909
2024-07-03 14:00:00,24.55636,22.58157,20.79605,10.308779999999999,12.058969999999999,16.01322
2024-07-03 14:30:00,24.52511,22.78887,20.99328,10.10726,11.69387,16.07932
2024-07-03 15:00:00,24.36923,22.84835,21.13482,9.904549999999999,11.88995,15.565999999999999
2024-07-03 15:30:00,24.09042,22.87811,21.27685,10.07473,11.87603,15.823329999999999
2024-07-03 16:00:00,23.5093,22.78887,21.36236,9.91746,11.80597,15.49575
2024-07-03 16:30:00,23.08721,22.58157,21.44808,9.85614,11.54637,15.776029999999999
2024-07-03 17:00:00,22.78887,22.40478,21.50534,9.66048,11.48769,15.23317
2024-07-03 17:30:00,22.552,22.28741,21.50534,9.733749999999999,11.32736,15.239189999999999
2024-07-03 18:00:00,22.37539,22.1705,21.53399,9.65535,11.5224,15.41129
2024-07-03 18:30:00,22.02484,22.02484,21.53399,10.00248,11.47233,15.42021
2024-07-03 19:00:00,21.67767,21.82189,21.53399,9.66963,11.35274,15.48179
2024-07-03 19:30:00,21.30532,21.62014,21.50534,9.52566,11.39232,15.48678
2024-07-03 20:00:00,20.99328,21.41949,21.44808,9.55279,11.29279,15.33523
2024-07-03 20:30:00,20.68386,21.19155,21.39093,9.54918,11.38861,15.452340000000001
