Ux,Uy,Uz,CO2,H2O,T_SONIC
-2.346927,-0.426414,-0.3866069,604.8727,7.160436,24.73843
-2.086546,-0.3765771,-0.208928,606.0753,7.250339,24.4856
-1.697034,-0.4140182,-0.0479589,606.0055,7.270008,24.50314
-2.083514,-0.2595875,-0.09534749,606.096,7.278506,24.46722
-1.87856,0.4889429,-0.3086679,605.9267,7.263024,24.45016
-2.074014,-0.2430645,-0.2939145,605.6117,7.243288,24.52695
-1.989319,-0.3437602,-0.500519,605.5651,7.26359,24.57236
-1.815588,-0.1192122,-0.1257222,606.2222,7.329053,24.2923
-2.077453,-0.2981634,-0.2629888,605.9816,7.290125,24.33612
-2.071724,0.08729727,-0.2416444,606.3331,7.311271,24.37943
-1.548611,0.2131381,-0.3400938,606.11,7.300057,24.3544
-2.384804,-0.3513833,-0.5118164,605.9642,7.231738,24.62933
-2.190685,-0.39173,-0.2887927,605.879,7.246398,24.4856
-1.60685,0.4514401,0.06178723,606.1623,7.254405,24.49118
-1.8077,0.09504751,-0.4842405,606.2465,7.252937,24.50836
-1.572682,0.7037088,0.09857385,606.9882,7.363705,24.22519
-1.300562,-0.09018648,-0.3936807,606.3547,7.381259,24.21176
-1.319422,0.1191875,-0.2829641,606.7326,7.370262,24.24176
-1.659306,-0.01039948,0.09947099,606.5179,7.380132,24.17258
-1.79437,-0.1123463,0.0372913,606.5651,7.336973,24.2164
-1.689113,0.003180556,-0.1993168,606.9647,7.408694,24.01822
-1.491352,-0.3993428,0.2259041,607.9307,7.503511,23.87317
-1.734397,-0.04600823,-0.3356692,607.4772,7.497873,23.86203
-2.492953,-0.4675877,-0.1594117,607.407,7.568519,23.69751
-1.840693,-0.13799,-0.01650567,607.7253,7.593307,23.62915
-1.634704,-0.1954259,-0.04178579,608.3058,7.590906,23.70752
-1.553779,0.2654175,0.1824645,607.4703,7.551188,23.77316
-1.718464,-0.2660011,-0.2336767,607.4413,7.595475,23.64221
-1.78457,-0.02672601,0.360648,607.5714,7.608348,23.47385
-1.718769,-0.6086261,0.3915075,608.3266,7.719885,23.34909
-2.044076,-0.8862849,0.02585587,607.6026,7.642796,23.51245
-1.68906,-0.9375352,0.01025379,608.252,7.641041,23.58051
-1.574017,-0.6103181,0.1149093,608.1519,7.82566,23.0061
-1.587235,-0.4523456,-0.03366455,608.123,7.803114,23.12576
-1.709836,-0.3581042,-0.1303244,607.7103,7.655007,23.48328
-1.6644,-0.4072916,-0.1697301,607.0142,7.630939,23.54837
-1.661285,-0.3895991,-0.2207048,607.4783,7.678567,23.38226
-1.488233,-0.576829,0.02262494,607.6769,7.705398,23.33868
-1.415701,-0.3523648,0.1152537,607.7885,7.662449,23.43994
-1.252511,-0.3704813,0.07349764,607.4052,7.642603,23.52493
-0.9892828,-0.09960596,0.4172549,607.7865,7.623013,23.50299
-0.975374,-0.1332776,0.4110569,608.0807,7.682041,23.40088
-0.9142308,-0.3343093,0.3694742,608.4116,7.752521,23.19968
-0.8774443,-0.4566322,0.3733023,608.8413,7.770821,23.17056
-1.192227,-0.1938436,0.1860882,608.8055,7.780016,23.09146
-1.095075,-0.1301797,0.2650591,609.3338,7.808084,22.99234
-1.112532,-0.185342,0.2423883,609.2872,7.704781,23.39279
-1.148666,-0.02475668,0.1675685,607.4641,7.522117,23.96478
-1.149828,-0.1291996,-0.0605163,606.9879,7.434373,24.04871
-1.083088,-0.3520041,-0.1433592,607.0875,7.474646,23.98495
-0.8971948,-0.214416,-0.1756821,607.1205,7.441486,24.01682
-0.9879111,0.1647073,0.1813695,607.5372,7.534774,23.68863
-0.7945361,-0.1345578,-0.02918877,607.8687,7.532189,23.77493
-1.322411,-0.4656532,-0.2287494,608.1697,7.577662,23.65903
-1.224799,-0.2594883,0.2619664,609.0393,7.656331,23.5596
-1.133631,-0.4099368,0.5783373,609.2221,7.699298,23.29941
-1.250265,-0.5243344,0.05759924,608.6171,7.74881,23.25076
-1.451534,-0.4581387,0.05444263,608.4892,7.749397,23.21829
-1.317089,-0.5313484,0.1169227,608.1443,7.742466,23.21106
-1.402513,-0.4118053,-0.1903464,608.0169,7.730427,23.27328
-1.477271,-0.1796777,-0.1569624,607.9946,7.715006,23.29355
-1.556488,-0.4219805,0.09026773,608.1449,7.727385,23.22327
-1.488566,-0.5437975,0.2210504,607.8204,7.703828,23.3382
-1.714037,-0.485675,0.1639414,608.0737,7.696247,23.36624
-1.657397,-0.8225991,0.129024,607.3702,7.504345,23.8663
-1.704739,-0.5459335,0.2302952,607.7101,7.571939,23.60461
-1.764165,-0.6114881,0.2414066,607.7493,7.590974,23.62247
-1.831389,-0.4680518,-0.1643599,607.7384,7.621856,23.58914
-1.655874,-0.300536,-0.07495743,607.4084,7.571653,23.67776
-1.838571,-0.442192,0.1550134,606.8298,7.557441,23.71371
-2.146686,-0.6457601,-0.06282381,605.8126,7.285261,24.46503
-2.319887,-0.8224025,-0.1183986,606.0421,7.271619,24.42639
-2.293009,-0.8730737,-0.09123978,606.3701,7.307843,24.35312
-2.479452,-0.8402694,-0.1403604,606.2874,7.324053,24.39401
-2.531697,-0.9156036,-0.225705,606.4791,7.309849,24.43198
-2.57739,-0.8824294,-0.1176347,606.0998,7.289302,24.46091
-2.47535,-0.9561006,-0.07598784,606.0164,7.279557,24.52087
-2.397093,-0.9503325,-0.2246736,605.9239,7.274378,24.491
-2.385516,-0.8398623,-0.3627832,606.054,7.284456,24.48709
-2.641028,-0.9571574,-0.3777276,606.3264,7.298891,24.43954
-2.592958,-0.8608103,-0.3568585,606.1325,7.309646,24.44019
-2.605873,-0.6919065,-0.3387606,606.3591,7.305348,24.43329
-2.488295,-0.8524785,-0.3599333,606.9618,7.426088,24.11182
-2.505685,-0.7002037,-0.2467269,606.8102,7.394788,24.14883
-2.464765,-0.6389534,-0.3796502,606.9915,7.45701,24.04285
-2.546878,-0.7368461,-0.4164407,606.8449,7.462115,24.02283
-2.331099,-0.8312632,-0.2203072,607.0133,7.425019,24.04932
-2.396504,-0.615104,0.1560536,607.0504,7.428032,24.04453
-2.486491,-0.734351,-0.06198115,606.9722,7.436961,24.10815
-2.455884,-0.9130272,-0.2244288,607.0035,7.436831,24.04495
-2.18522,-0.8784165,-0.3046462,607.0404,7.441185,24.06546
-2.56531,-0.9189086,-0.2176705,606.9941,7.397905,24.24561
-2.368177,-0.9614791,-0.2961009,607.0912,7.383912,24.29556
-2.465917,-0.7429873,-0.2578768,606.5897,7.384718,24.18372
-2.78544,-0.8292709,-0.1540298,606.527,7.389311,24.10468
-2.292746,-0.992476,-0.2674921,607.1315,7.519109,23.75607
-2.038722,-1.074976,0.09824933,607.8043,7.590655,23.58337
-2.141094,-0.8448951,-0.02648747,606.5046,7.368474,24.25018
-2.273205,-0.760905,-0.1960548,606.4293,7.34084,24.36859
-2.295398,-0.9086229,-0.3052533,606.7037,7.37604,24.21542
-2.208402,-1.040005,-0.4044958,607.1301,7.384468,24.18845
-2.129869,-0.8169733,-0.1156345,607.1702,7.400207,24.11075
-1.840679,-0.8229478,-0.1202341,606.7928,7.422813,24.09021
-1.809643,-0.8225254,-0.165666,606.51,7.40896,24.12891
-1.786584,-0.5278322,-0.1433983,606.7915,7.453411,24.01324
-1.757379,-0.6871386,-0.176227,606.6838,7.443772,24.03055
-2.103045,-0.7168266,-0.1127906,606.9044,7.464147,23.97864
-2.149234,-0.7619764,-0.122535,607.0132,7.431992,24.0755
-2.104688,-0.7339166,-0.0282037,606.9183,7.38403,24.22736
-1.961347,-0.6483098,0.1415608,607.0191,7.431307,24.13449
-1.7979,-0.3786676,0.000886717,606.7242,7.385845,24.15958
-1.755926,-0.1956928,-0.1861895,606.7638,7.378394,24.22137
-1.823094,-0.5988383,-0.1569337,606.5671,7.388178,24.1767
-2.036509,-0.610254,-0.1770079,606.704,7.390239,24.20486
-2.578737,-0.7187069,-0.3548616,606.2224,7.393742,24.23315
-2.319819,-0.6264217,-0.4053529,607.1641,7.529833,23.84717
-2.642781,-0.7840877,-0.2455511,607.0654,7.485919,23.94464
-2.580648,-0.861747,-0.2235244,606.9276,7.424074,24.17664
-2.490965,-0.5816914,0.01527396,607.0552,7.490334,23.89478
-2.186831,-0.8413302,-0.3009742,607.2125,7.508832,23.79797
-1.966443,-0.4846834,-0.2913972,607.169,7.546833,23.72708
-2.507243,-0.3127046,-0.4950961,605.3877,7.270518,24.4715
-2.304767,-0.4390193,-0.572091,605.9104,7.167504,24.81027
-2.495081,-0.3137534,-0.4834723,605.1474,7.153217,24.8204
-2.363513,-0.7950001,-0.3726996,605.4181,7.19253,24.71408
-2.038964,-0.5410167,-0.3733896,605.6447,7.246152,24.53342
-1.925436,-0.6082808,-0.3293454,606.1723,7.382474,24.27411
-1.908213,-0.5570911,-0.2627374,606.4531,7.370325,24.2764
-1.647631,-0.2604604,-0.4478619,606.0271,7.258738,24.45901
-1.666705,-0.1581678,-0.1335815,606.3264,7.328858,24.29498
-1.663629,-0.5257355,-0.04198952,606.4609,7.362543,24.16071
-1.70841,-0.5363938,-0.2403506,606.6307,7.374452,24.22128
-1.539405,-0.5772908,-0.2189377,606.3203,7.416054,24.09232
-1.600541,-0.5602231,-0.2619582,606.1545,7.333322,24.38583
-1.710005,-0.4653057,-0.3251537,605.8775,7.361752,24.22986
-1.55833,-0.06421097,-0.3569945,606.533,7.37132,24.22562
-1.37681,-0.08172451,-0.2790248,606.339,7.427112,23.97083
-0.895237,-0.09860244,0.06976804,607.058,7.487715,23.97256
-1.430849,-0.08601702,0.1916996,607.8334,7.608264,23.53357
-1.182642,-0.22892,0.1538806,607.7309,7.594939,23.58069
-1.224637,-0.1673717,0.1420995,607.8664,7.616857,23.53244
-1.397236,-0.3428062,0.4069035,607.4547,7.591229,23.64859
-1.066322,-0.5787748,0.5372887,607.1705,7.545347,23.7388
-1.090031,-0.432907,0.4322023,607.0825,7.519457,23.79953
-1.006982,-0.4724474,0.2271283,607.2682,7.603135,23.3894
-1.23653,-0.3336319,0.2065744,608.8076,7.764494,23.07471
-1.482922,-0.4200294,0.104469,608.1548,7.740695,23.25867
-1.51126,-0.5224136,-0.1736396,607.8842,7.685614,23.41544
-1.562783,-0.339691,-0.0342405,607.866,7.655315,23.47638
-1.253333,0.1159574,0.01727714,607.9909,7.689275,23.36072
-1.820265,-0.1308647,-0.4490657,607.5411,7.586872,23.72632
-1.624793,-0.2343502,0.005257145,607.7301,7.631563,23.62134
-1.901474,-0.3341233,-0.2810501,606.919,7.477619,24.05484
-1.980222,-0.504023,-0.01558256,606.4183,7.419771,23.91702
-1.740696,-0.4462152,-0.3083511,606.5579,7.402544,24.22278
-1.798741,-0.2066467,-0.04321162,606.4134,7.424082,23.94989
-1.531003,-0.1044797,0.06067948,606.6286,7.51792,23.80304
-1.761123,-0.5662311,0.1767299,606.8818,7.53193,23.73328
-2.343894,-0.4314269,-0.2566229,606.906,7.329276,24.28857
-2.242474,-0.7475536,-0.2055958,606.5361,7.273642,24.4566
-2.252184,-0.6069804,-0.07177766,606.2169,7.265201,24.52252
-2.269946,-0.7029537,-0.174865,606.5106,7.290737,24.42902
-2.534325,-0.664678,-0.2503234,606.148,7.302618,24.45358
-2.457489,-0.6530024,-0.3902149,606.2989,7.378618,24.18582
-2.34902,-0.6096452,-0.1119312,606.3219,7.378296,24.21988
-2.479815,-0.4889521,-0.281344,606.1857,7.274719,24.46622
-1.915006,0.1320003,-0.1255723,606.254,7.28888,24.31717
-1.565813,0.07503394,-0.1330077,606.7468,7.320777,24.31339
-1.81637,-0.2881275,-0.1777512,606.9543,7.328716,24.25793
-2.125858,-0.1570326,-0.2131846,606.6594,7.339698,24.19656
-2.595202,-0.213548,-0.3112299,607.1297,7.276333,24.52911
-2.662312,0.145037,-0.2235995,606.0886,7.230816,24.59164
-2.606298,0.008789267,-0.3104732,606.3885,7.262537,24.41629
-2.485611,-0.4358309,-0.3966035,606.9517,7.401012,24.12067
-2.480279,-0.7282779,-0.6201776,606.2672,7.320133,24.33972
-2.245161,-0.3972677,-0.7037086,606.2832,7.268474,24.50137
-2.399634,-0.405967,-0.3521265,606.8991,7.480531,23.87128
-2.067933,-0.3513232,0.05392992,607.4241,7.482767,23.88693
-2.260117,-0.861912,-0.1777409,607.7245,7.512735,23.79977
-2.452981,-0.64718,-0.4090403,606.7004,7.284429,24.56866
-2.531117,-0.6787605,-0.4727771,605.9047,7.239648,24.60645
-2.627858,-0.5603462,-0.5302339,606.0172,7.250616,24.50653
-2.718736,-0.6556505,-0.7524834,607.0961,7.503243,23.77966
-2.687758,-0.99876,0.2618631,606.9109,7.66051,23.41302
-2.468158,-0.8328847,-0.1395219,607.6284,7.741398,23.21664
-2.64035,-0.8248222,-0.0592525,607.6551,7.661447,23.39197
-2.253697,-1.025108,0.08909841,607.6774,7.651162,23.53525
-2.524598,-1.255684,-0.09313553,606.8481,7.322955,24.39587
-2.544573,-0.8268853,-0.5580128,605.687,7.248469,24.40054
-2.298426,-0.6513938,-0.4558361,606.3238,7.265641,24.54218
-2.20965,-0.7725496,-0.3045696,606.0811,7.276301,24.48752
-2.231237,-0.6735037,-0.3590821,606.227,7.292259,24.42593
-2.279637,-0.6810846,-0.4777447,605.8856,7.305384,24.43726
-2.04548,-0.706059,-0.1557593,606.5921,7.445374,23.95081
-1.863478,0.03671664,-0.4211934,606.8724,7.476741,23.94339
-1.706733,-0.0489381,-0.3517196,607.3571,7.461683,24.01385
